codigo_producto,fecha,hora,cantidad_vendida,precio,canal,promocion
PROD007,2025-08-26,08:55,13,59.41,telefono,sin_promocion
PROD008,2025-08-26,10:18,6,135.88,telefono,sin_promocion
PROD004,2025-08-26,10:48,1,186.2,tienda,10%_desc
PROD005,2025-08-26,11:42,1,375.86,tienda,15%_desc
PROD012,2025-08-26,12:20,1,179.44,online,sin_promocion
PROD014,2025-08-26,12:31,1,48.72,tienda,sin_promocion
PROD012,2025-08-26,13:27,1,162.59,tienda,sin_promocion
PROD012,2025-08-26,13:28,1,163.32,tienda,15%_desc
PROD005,2025-08-26,13:48,1,318.61,tienda,15%_desc
PROD004,2025-08-26,14:21,1,173.56,tienda,sin_promocion
PROD007,2025-08-26,14:26,2,69.35,online,sin_promocion
PROD015,2025-08-26,14:44,5,57.0,telefono,sin_promocion
PROD012,2025-08-26,14:50,3,191.42,tienda,sin_promocion
PROD011,2025-08-26,15:06,3,522.7,tienda,sin_promocion
PROD004,2025-08-26,15:11,7,197.89,tienda,sin_promocion
PROD011,2025-08-26,15:29,2,565.02,online,sin_promocion
PROD004,2025-08-26,15:52,10,189.38,tienda,15%_desc
PROD015,2025-08-26,15:57,1,57.45,tienda,15%_desc
PROD011,2025-08-26,16:02,2,501.09,tienda,sin_promocion
PROD005,2025-08-26,16:05,5,330.73,telefono,2x1
PROD003,2025-08-27,07:16,1,238.22,online,sin_promocion
PROD002,2025-08-27,08:40,2,78.15,tienda,combo
PROD015,2025-08-27,09:05,1,62.95,tienda,sin_promocion
PROD006,2025-08-27,09:24,1,94.12,telefono,sin_promocion
PROD003,2025-08-27,09:29,1,240.37,tienda,sin_promocion
PROD014,2025-08-27,09:36,1,45.07,tienda,sin_promocion
PROD011,2025-08-27,09:54,1,536.09,online,sin_promocion
PROD007,2025-08-27,10:03,1,68.73,tienda,10%_desc
PROD008,2025-08-27,10:08,1,131.05,telefono,2x1
PROD010,2025-08-27,10:31,1,208.5,tienda,sin_promocion
PROD011,2025-08-27,11:26,1,503.25,tienda,sin_promocion
PROD015,2025-08-27,11:43,1,54.98,tienda,sin_promocion
PROD006,2025-08-27,11:56,1,93.38,tienda,sin_promocion
PROD007,2025-08-27,12:37,1,61.31,online,sin_promocion
PROD014,2025-08-27,12:38,8,48.86,telefono,sin_promocion
PROD014,2025-08-27,13:07,2,47.36,tienda,sin_promocion
PROD010,2025-08-27,13:29,1,205.73,tienda,sin_promocion
PROD010,2025-08-27,13:32,1,203.75,tienda,sin_promocion
PROD002,2025-08-27,13:49,1,90.08,tienda,sin_promocion
PROD003,2025-08-27,13:54,1,233.4,tienda,sin_promocion
PROD001,2025-08-27,14:00,2,151.98,telefono,sin_promocion
PROD007,2025-08-27,14:13,2,64.26,online,sin_promocion
PROD012,2025-08-27,14:22,1,188.08,online,sin_promocion
PROD006,2025-08-27,15:07,1,88.16,online,sin_promocion
PROD012,2025-08-27,15:09,1,181.54,tienda,2x1
PROD003,2025-08-27,15:20,4,230.89,tienda,15%_desc
PROD003,2025-08-27,15:23,1,227.6,telefono,sin_promocion
PROD011,2025-08-27,15:24,1,571.44,tienda,sin_promocion
PROD012,2025-08-27,15:51,1,162.05,tienda,sin_promocion
PROD006,2025-08-27,15:58,1,97.09,tienda,sin_promocion
PROD007,2025-08-27,16:03,1,63.68,tienda,combo
PROD015,2025-08-27,16:49,1,65.3,tienda,sin_promocion
PROD009,2025-08-27,17:01,1,420.68,tienda,sin_promocion
PROD014,2025-08-27,17:58,1,43.56,tienda,sin_promocion
PROD006,2025-08-28,07:51,6,103.5,tienda,sin_promocion
PROD006,2025-08-28,08:15,1,93.78,tienda,15%_desc
PROD012,2025-08-28,08:21,2,160.35,telefono,sin_promocion
PROD012,2025-08-28,08:42,2,182.1,online,sin_promocion
PROD003,2025-08-28,09:00,5,206.99,online,sin_promocion
PROD010,2025-08-28,09:02,1,189.91,tienda,sin_promocion
PROD006,2025-08-28,09:04,1,95.2,tienda,sin_promocion
PROD008,2025-08-28,09:15,4,119.67,tienda,sin_promocion
PROD014,2025-08-28,09:23,1,43.28,online,sin_promocion
PROD010,2025-08-28,09:28,1,184.14,online,sin_promocion
PROD012,2025-08-28,09:35,1,181.24,tienda,sin_promocion
PROD008,2025-08-28,11:11,1,141.73,tienda,sin_promocion
PROD010,2025-08-28,11:58,3,212.39,telefono,sin_promocion
PROD006,2025-08-28,13:55,2,99.6,tienda,sin_promocion
PROD008,2025-08-28,14:55,6,142.25,tienda,sin_promocion
PROD008,2025-08-28,15:04,5,133.76,online,combo
PROD006,2025-08-28,15:36,2,93.18,tienda,sin_promocion
PROD008,2025-08-28,15:37,2,118.46,tienda,sin_promocion
PROD012,2025-08-28,15:49,1,169.34,tienda,sin_promocion
PROD005,2025-08-28,16:11,2,324.04,tienda,sin_promocion
PROD002,2025-08-28,16:27,1,78.39,telefono,sin_promocion
PROD012,2025-08-28,17:08,2,178.33,online,sin_promocion
PROD014,2025-08-29,07:44,6,44.5,tienda,sin_promocion
PROD005,2025-08-29,07:58,1,330.54,tienda,sin_promocion
PROD014,2025-08-29,08:01,1,41.79,tienda,sin_promocion
PROD015,2025-08-29,08:07,1,54.31,tienda,sin_promocion
PROD009,2025-08-29,08:24,2,483.6,tienda,sin_promocion
PROD012,2025-08-29,09:18,3,169.99,telefono,sin_promocion
PROD010,2025-08-29,09:22,3,189.65,telefono,15%_desc
PROD011,2025-08-29,10:20,5,565.07,tienda,sin_promocion
PROD006,2025-08-29,10:53,1,102.7,tienda,10%_desc
PROD004,2025-08-29,10:55,1,171.0,tienda,sin_promocion
PROD015,2025-08-29,11:28,1,63.16,tienda,sin_promocion
PROD001,2025-08-29,11:46,2,148.13,tienda,sin_promocion
PROD010,2025-08-29,11:51,4,185.39,telefono,sin_promocion
PROD005,2025-08-29,12:18,1,320.87,tienda,sin_promocion
PROD005,2025-08-29,13:07,4,369.33,tienda,10%_desc
PROD014,2025-08-29,13:17,1,46.26,telefono,combo
PROD014,2025-08-29,13:20,2,41.42,tienda,sin_promocion
PROD003,2025-08-29,13:29,5,231.86,telefono,sin_promocion
PROD001,2025-08-29,13:56,1,157.99,tienda,sin_promocion
PROD015,2025-08-29,14:45,2,59.36,online,sin_promocion
PROD001,2025-08-29,14:54,1,158.64,tienda,sin_promocion
PROD008,2025-08-29,15:11,1,134.27,tienda,sin_promocion
PROD002,2025-08-29,15:14,1,85.58,tienda,sin_promocion
PROD005,2025-08-29,15:15,3,342.03,tienda,sin_promocion
PROD005,2025-08-29,15:28,1,358.07,online,10%_desc
PROD005,2025-08-29,15:50,1,325.22,tienda,sin_promocion
PROD015,2025-08-29,16:23,1,58.59,tienda,sin_promocion
PROD013,2025-08-29,16:47,1,375.42,online,sin_promocion
PROD010,2025-08-29,16:52,1,205.71,telefono,sin_promocion
PROD013,2025-08-29,17:59,5,402.59,tienda,combo
PROD010,2025-08-30,07:02,1,202.9,telefono,sin_promocion
PROD006,2025-08-30,07:28,3,93.4,tienda,sin_promocion
PROD015,2025-08-30,07:53,1,58.76,tienda,sin_promocion
PROD003,2025-08-30,08:08,3,240.78,tienda,sin_promocion
PROD012,2025-08-30,08:12,1,186.48,tienda,sin_promocion
PROD007,2025-08-30,08:23,1,65.69,tienda,sin_promocion
PROD011,2025-08-30,08:26,1,520.19,tienda,sin_promocion
PROD011,2025-08-30,08:29,1,562.86,tienda,sin_promocion
PROD009,2025-08-30,08:38,1,447.71,online,sin_promocion
PROD004,2025-08-30,08:49,1,196.79,tienda,sin_promocion
PROD008,2025-08-30,09:08,2,142.35,tienda,sin_promocion
PROD009,2025-08-30,09:23,1,434.81,tienda,sin_promocion
PROD007,2025-08-30,09:29,1,60.09,tienda,2x1
PROD004,2025-08-30,09:32,13,185.08,tienda,sin_promocion
PROD004,2025-08-30,10:19,1,167.93,tienda,sin_promocion
PROD015,2025-08-30,10:34,6,62.86,online,10%_desc
PROD009,2025-08-30,10:37,1,448.24,tienda,sin_promocion
PROD013,2025-08-30,11:15,1,345.86,online,sin_promocion
PROD007,2025-08-30,11:25,1,65.07,online,sin_promocion
PROD011,2025-08-30,11:33,2,489.56,tienda,sin_promocion
PROD009,2025-08-30,12:09,1,459.56,tienda,sin_promocion
PROD012,2025-08-30,12:18,5,158.97,online,combo
PROD003,2025-08-30,12:19,8,215.52,telefono,sin_promocion
PROD009,2025-08-30,12:38,1,450.82,tienda,10%_desc
PROD011,2025-08-30,12:39,1,518.35,online,sin_promocion
PROD007,2025-08-30,12:48,2,60.57,online,sin_promocion
PROD005,2025-08-30,12:53,7,379.68,tienda,sin_promocion
PROD006,2025-08-30,13:30,1,90.15,telefono,sin_promocion
PROD014,2025-08-30,13:41,1,42.3,online,sin_promocion
PROD012,2025-08-30,13:45,1,164.75,telefono,sin_promocion
PROD003,2025-08-30,13:57,1,211.2,tienda,sin_promocion
PROD007,2025-08-30,14:08,2,69.97,telefono,sin_promocion
PROD003,2025-08-30,14:32,7,207.87,online,sin_promocion
PROD009,2025-08-30,14:37,2,435.27,telefono,sin_promocion
PROD007,2025-08-30,15:38,3,69.97,telefono,sin_promocion
PROD013,2025-08-30,15:45,1,377.9,telefono,10%_desc
PROD007,2025-08-30,16:15,9,71.01,online,sin_promocion
PROD003,2025-08-30,16:35,5,223.18,tienda,sin_promocion
PROD005,2025-08-30,16:41,3,329.76,tienda,sin_promocion
PROD002,2025-08-30,17:11,10,91.78,tienda,15%_desc
PROD012,2025-08-30,17:18,1,161.77,telefono,sin_promocion
PROD006,2025-08-30,17:46,2,104.27,tienda,sin_promocion
PROD004,2025-08-30,17:54,4,164.84,tienda,sin_promocion
PROD009,2025-08-31,07:58,1,455.78,tienda,sin_promocion
PROD009,2025-08-31,08:10,1,434.53,tienda,10%_desc
PROD012,2025-08-31,08:15,1,173.62,tienda,sin_promocion
PROD008,2025-08-31,08:48,4,123.43,telefono,sin_promocion
PROD015,2025-08-31,09:26,4,57.61,tienda,sin_promocion
PROD011,2025-08-31,09:41,1,557.47,tienda,sin_promocion
PROD008,2025-08-31,10:29,1,136.44,tienda,sin_promocion
PROD015,2025-08-31,11:48,2,64.36,tienda,sin_promocion
PROD014,2025-08-31,12:15,6,42.35,tienda,2x1
PROD015,2025-08-31,12:35,1,59.95,online,sin_promocion
PROD012,2025-08-31,12:48,1,158.3,tienda,sin_promocion
PROD011,2025-08-31,13:28,1,558.44,online,sin_promocion
PROD006,2025-08-31,13:32,1,91.73,tienda,10%_desc
PROD011,2025-08-31,14:11,1,547.97,telefono,sin_promocion
PROD007,2025-08-31,14:15,4,64.31,tienda,sin_promocion
PROD004,2025-08-31,14:17,1,168.94,tienda,sin_promocion
PROD004,2025-08-31,14:18,1,178.36,tienda,sin_promocion
PROD007,2025-08-31,14:41,2,63.17,tienda,sin_promocion
PROD010,2025-08-31,14:44,1,182.55,online,sin_promocion
PROD010,2025-08-31,14:46,1,180.87,tienda,10%_desc
PROD007,2025-08-31,15:44,1,60.03,online,sin_promocion
PROD005,2025-08-31,15:50,1,335.65,telefono,sin_promocion
PROD010,2025-08-31,15:51,1,182.23,tienda,sin_promocion
PROD015,2025-08-31,17:36,2,61.18,telefono,sin_promocion
PROD007,2025-09-01,09:01,10,61.89,online,sin_promocion
PROD010,2025-09-01,09:33,3,181.35,telefono,sin_promocion
PROD002,2025-09-01,10:03,1,81.06,telefono,sin_promocion
PROD011,2025-09-01,10:04,1,541.55,tienda,sin_promocion
PROD002,2025-09-01,10:30,1,80.05,online,sin_promocion
PROD015,2025-09-01,10:39,2,60.32,telefono,sin_promocion
PROD002,2025-09-01,10:51,1,84.37,tienda,sin_promocion
PROD010,2025-09-01,11:29,1,186.73,telefono,sin_promocion
PROD006,2025-09-01,13:19,1,90.47,tienda,sin_promocion
PROD001,2025-09-01,13:26,1,139.48,tienda,sin_promocion
PROD007,2025-09-01,15:14,6,63.44,telefono,sin_promocion
PROD002,2025-09-01,15:15,1,80.83,tienda,combo
PROD015,2025-09-01,15:29,1,60.78,online,sin_promocion
PROD011,2025-09-01,15:34,1,569.66,tienda,sin_promocion
PROD011,2025-09-01,16:42,1,518.74,tienda,sin_promocion
PROD006,2025-09-01,17:48,1,101.45,online,sin_promocion
PROD004,2025-09-01,17:58,1,170.73,tienda,sin_promocion
PROD014,2025-09-02,07:46,2,44.65,telefono,sin_promocion
PROD001,2025-09-02,08:31,1,160.36,tienda,sin_promocion
PROD011,2025-09-02,08:43,1,528.93,tienda,sin_promocion
PROD011,2025-09-02,09:05,2,495.87,tienda,sin_promocion
PROD008,2025-09-02,09:19,4,121.22,tienda,sin_promocion
PROD013,2025-09-02,09:27,2,362.97,tienda,sin_promocion
PROD011,2025-09-02,10:11,2,512.82,tienda,sin_promocion
PROD013,2025-09-02,10:19,1,366.37,online,sin_promocion
PROD001,2025-09-02,11:05,1,147.16,tienda,sin_promocion
PROD012,2025-09-02,12:36,1,175.74,telefono,sin_promocion
PROD006,2025-09-02,13:17,1,86.38,tienda,sin_promocion
PROD010,2025-09-02,14:01,2,205.36,telefono,sin_promocion
PROD010,2025-09-02,14:14,3,213.55,tienda,sin_promocion
PROD013,2025-09-02,14:51,1,407.53,tienda,sin_promocion
PROD008,2025-09-02,15:01,3,142.0,tienda,sin_promocion
PROD011,2025-09-02,16:06,1,477.52,online,sin_promocion
PROD014,2025-09-02,16:23,1,41.52,tienda,sin_promocion
PROD012,2025-09-02,16:55,1,170.98,tienda,sin_promocion
PROD008,2025-09-02,17:24,2,136.65,tienda,sin_promocion
PROD013,2025-09-02,17:38,1,388.87,tienda,2x1
PROD014,2025-09-02,17:43,7,44.99,tienda,sin_promocion
PROD013,2025-09-02,18:18,1,397.85,tienda,sin_promocion
PROD011,2025-09-03,07:18,3,471.4,tienda,sin_promocion
PROD014,2025-09-03,08:20,12,49.31,tienda,sin_promocion
PROD004,2025-09-03,08:28,1,175.47,tienda,sin_promocion
PROD013,2025-09-03,08:48,1,396.64,tienda,sin_promocion
PROD006,2025-09-03,08:59,1,104.19,tienda,sin_promocion
PROD006,2025-09-03,09:28,2,96.75,tienda,sin_promocion
PROD004,2025-09-03,09:30,4,165.76,tienda,sin_promocion
PROD007,2025-09-03,10:36,3,59.82,online,sin_promocion
PROD013,2025-09-03,10:36,1,350.68,telefono,sin_promocion
PROD013,2025-09-03,10:49,2,403.7,tienda,sin_promocion
PROD004,2025-09-03,11:06,1,162.38,tienda,sin_promocion
PROD014,2025-09-03,11:08,5,49.16,telefono,sin_promocion
PROD008,2025-09-03,11:43,7,120.48,tienda,sin_promocion
PROD013,2025-09-03,12:10,4,388.83,telefono,sin_promocion
PROD013,2025-09-03,12:19,1,408.49,tienda,sin_promocion
PROD010,2025-09-03,13:00,1,199.38,tienda,sin_promocion
PROD010,2025-09-03,13:35,1,186.67,tienda,sin_promocion
PROD005,2025-09-03,14:21,1,346.87,tienda,sin_promocion
PROD001,2025-09-03,14:37,4,147.02,tienda,sin_promocion
PROD010,2025-09-03,14:43,1,199.67,telefono,sin_promocion
PROD002,2025-09-03,14:44,4,91.72,tienda,sin_promocion
PROD006,2025-09-03,15:04,2,91.21,telefono,15%_desc
PROD008,2025-09-03,15:33,1,142.11,tienda,sin_promocion
PROD008,2025-09-03,15:54,1,128.9,tienda,sin_promocion
PROD002,2025-09-03,16:10,2,87.5,tienda,sin_promocion
PROD006,2025-09-03,16:14,1,100.66,tienda,sin_promocion
PROD008,2025-09-03,17:26,2,132.51,tienda,sin_promocion
PROD010,2025-09-04,07:17,2,205.78,tienda,sin_promocion
PROD009,2025-09-04,07:41,1,494.36,tienda,sin_promocion
PROD009,2025-09-04,08:05,8,485.69,tienda,combo
PROD008,2025-09-04,08:13,2,129.4,tienda,sin_promocion
PROD015,2025-09-04,08:19,1,62.38,telefono,sin_promocion
PROD008,2025-09-04,08:46,1,137.95,tienda,sin_promocion
PROD015,2025-09-04,09:00,1,62.49,telefono,sin_promocion
PROD014,2025-09-04,09:02,2,48.8,online,sin_promocion
PROD007,2025-09-04,09:03,1,63.65,tienda,sin_promocion
PROD004,2025-09-04,09:36,4,192.69,telefono,sin_promocion
PROD010,2025-09-04,09:54,1,213.88,online,sin_promocion
PROD011,2025-09-04,10:50,1,561.38,online,sin_promocion
PROD011,2025-09-04,11:33,1,560.43,tienda,sin_promocion
PROD003,2025-09-04,12:13,1,240.6,telefono,sin_promocion
PROD003,2025-09-04,12:46,1,240.77,tienda,sin_promocion
PROD004,2025-09-04,13:44,1,194.74,online,sin_promocion
PROD004,2025-09-04,14:01,1,166.47,online,sin_promocion
PROD014,2025-09-04,14:05,1,45.1,tienda,sin_promocion
PROD015,2025-09-04,14:10,3,58.46,telefono,sin_promocion
PROD008,2025-09-04,14:52,3,120.14,online,sin_promocion
PROD002,2025-09-04,14:53,2,80.71,telefono,sin_promocion
PROD015,2025-09-04,15:07,1,59.44,tienda,sin_promocion
PROD009,2025-09-04,15:22,1,470.02,tienda,sin_promocion
PROD002,2025-09-04,15:44,1,92.42,tienda,sin_promocion
PROD012,2025-09-04,16:23,2,176.62,tienda,sin_promocion
PROD002,2025-09-04,16:24,1,84.18,tienda,sin_promocion
PROD014,2025-09-04,17:27,1,46.82,tienda,sin_promocion
PROD014,2025-09-05,07:01,1,49.47,tienda,sin_promocion
PROD006,2025-09-05,08:21,1,85.53,telefono,sin_promocion
PROD004,2025-09-05,09:02,4,192.91,tienda,15%_desc
PROD006,2025-09-05,09:09,1,85.62,tienda,sin_promocion
PROD009,2025-09-05,09:12,1,417.25,telefono,2x1
PROD004,2025-09-05,09:23,1,167.66,telefono,sin_promocion
PROD010,2025-09-05,10:22,2,195.85,tienda,sin_promocion
PROD006,2025-09-05,11:04,1,102.16,online,sin_promocion
PROD007,2025-09-05,11:26,1,64.9,tienda,sin_promocion
PROD012,2025-09-05,12:06,3,173.67,telefono,2x1
PROD012,2025-09-05,12:08,2,164.43,tienda,sin_promocion
PROD005,2025-09-05,12:35,1,371.22,telefono,sin_promocion
PROD006,2025-09-05,13:37,1,103.97,online,sin_promocion
PROD009,2025-09-05,13:44,1,485.6,tienda,sin_promocion
PROD009,2025-09-05,14:04,1,458.27,tienda,sin_promocion
PROD006,2025-09-05,15:00,3,92.51,tienda,sin_promocion
PROD010,2025-09-05,15:49,1,188.31,tienda,sin_promocion
PROD010,2025-09-05,15:52,4,208.19,tienda,sin_promocion
PROD009,2025-09-05,15:59,1,477.07,telefono,sin_promocion
PROD005,2025-09-05,16:17,1,372.82,tienda,2x1
PROD001,2025-09-05,17:51,1,147.88,tienda,sin_promocion
PROD013,2025-09-06,07:21,1,398.65,tienda,sin_promocion
PROD015,2025-09-06,08:21,2,56.04,tienda,sin_promocion
PROD010,2025-09-06,08:24,1,192.27,telefono,2x1
PROD005,2025-09-06,09:03,1,331.28,tienda,sin_promocion
PROD008,2025-09-06,09:21,1,124.85,tienda,sin_promocion
PROD014,2025-09-06,09:22,2,42.81,tienda,combo
PROD005,2025-09-06,09:53,1,384.16,online,sin_promocion
PROD004,2025-09-06,10:17,6,181.21,telefono,sin_promocion
PROD006,2025-09-06,10:21,1,99.12,online,sin_promocion
PROD003,2025-09-06,10:24,1,232.4,tienda,sin_promocion
PROD001,2025-09-06,11:02,2,163.27,tienda,sin_promocion
PROD015,2025-09-06,11:10,3,59.42,telefono,2x1
PROD004,2025-09-06,11:22,6,195.67,online,sin_promocion
PROD007,2025-09-06,11:49,2,59.94,tienda,sin_promocion
PROD013,2025-09-06,11:52,1,395.88,tienda,sin_promocion
PROD004,2025-09-06,13:33,1,174.87,tienda,sin_promocion
PROD010,2025-09-06,13:54,4,219.77,online,15%_desc
PROD008,2025-09-06,14:41,3,125.25,telefono,sin_promocion
PROD001,2025-09-06,14:56,1,139.46,tienda,sin_promocion
PROD001,2025-09-06,15:01,6,146.48,tienda,sin_promocion
PROD002,2025-09-06,15:03,1,77.99,tienda,sin_promocion
PROD003,2025-09-06,15:24,2,209.9,tienda,sin_promocion
PROD015,2025-09-06,15:31,1,64.58,tienda,sin_promocion
PROD005,2025-09-06,17:58,4,356.41,telefono,sin_promocion
PROD013,2025-09-07,07:08,1,417.42,tienda,sin_promocion
PROD010,2025-09-07,07:21,1,209.06,tienda,sin_promocion
PROD004,2025-09-07,08:30,13,172.76,tienda,sin_promocion
PROD013,2025-09-07,08:32,2,351.11,telefono,sin_promocion
PROD006,2025-09-07,08:55,1,89.83,tienda,sin_promocion
PROD002,2025-09-07,09:13,1,79.4,tienda,2x1
PROD003,2025-09-07,09:16,6,217.35,tienda,sin_promocion
PROD013,2025-09-07,09:30,4,346.08,tienda,sin_promocion
PROD010,2025-09-07,09:41,1,199.89,tienda,sin_promocion
PROD004,2025-09-07,10:08,1,163.54,tienda,sin_promocion
PROD008,2025-09-07,10:10,1,139.2,telefono,sin_promocion
PROD008,2025-09-07,10:17,6,133.94,tienda,sin_promocion
PROD001,2025-09-07,10:21,2,141.17,tienda,sin_promocion
PROD014,2025-09-07,10:43,2,40.54,telefono,sin_promocion
PROD014,2025-09-07,10:49,14,41.23,tienda,sin_promocion
PROD004,2025-09-07,10:53,1,175.94,tienda,sin_promocion
